time,modulation_synthesize_pERK_DUSP_ERK,tCRAF,tRAS,gdpRAS,gtpRAS,tRAFi,bound_RAFi,free_RAFi,bound_CRAF,unbound_CRAF,active_dimer_CRAF,RAS_bound_CRAF,MEK_bound_CRAF,pCRAF,tMEK,pMEK,tMEKi,tERK,pERK,tDUSP,tmDUSP,tSOS1,pS1134SOS1,uS1134SOS1,synthesize_pERK_DUSP_ERK_kmod,msynthesize_pERK_DUSP_ksyn,tCRAF_obs,tRAS_obs,tMEK_obs,pMEK_percent,tERK_obs,pERK_percent,tDUSP_obs,tmDUSP_obs,gtpRAS_percent,pCRAF_percent,Bound_CRAF_percent,Bound_RAF_percent,Active_CRAF_percent,Active_RAF_percent,tSOS1_obs,pS1134SOS1_obs,Mutation,Parameter_set,Drug A,Drug B,Concentration A (uM),Concentration B (uM),Time A (h),Time B (h)
-24.0,0.21212152045716332,0.018814720477012856,0.5267654842551746,0.1747139605724783,0.3520515236826963,0.0,0.0,0.0,0.012956910131368791,0.005857810345644068,0.012956910131368807,0.016470881654488893,0.0026798047644194982,0.016515798240273494,0.19909925070393072,0.15302784012499357,3.062956263809136e-19,0.29845516989441184,0.21212152045716332,0.06089784813542447,916.6454557500023,0.008603602301060068,0.006682201353420635,0.0019214009476394328,13.756827146985191,1252.6473271910468,9.335252557613263,12.667368438154233,11.694416437716065,76.86007836993453,12.099232727014197,71.07316000999685,10.509810829766604,6.820720762542977,66.8326863102056,87.78125755549702,68.86581252801004,68.86581252801004,68.86581252801012,68.86581252801012,8.552793977841985,0.7766748298671717,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.75,0.21212152050527247,0.01881472047705067,0.5267654842551234,0.17471396058508365,0.3520515236700403,0.0,0.0,0.0,0.012956910131056912,0.005857810345993757,0.012956910131056928,0.016470881654048624,0.0026798047644106928,0.01651579824016353,0.19909925070394882,0.15302784012558174,1.1094034583874416e-19,0.2984551698944031,0.21212152050527247,0.06089784813378164,916.6454557757722,0.008603602301060099,0.006682201353193083,0.001921400947867016,13.7568271493206,1252.6473274037007,9.335252557615272,12.667368438154135,11.694416437716155,76.86007837022295,12.099232727014167,71.07316002611833,10.509810829739626,6.8207207625710895,66.8326863078095,87.78125755473614,68.865812526214,68.865812526214,68.86581252621409,68.86581252621409,8.552793977841988,0.7766748298407204,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.5,0.212121520507093,0.018814720477064013,0.5267654842549674,0.1747139605886515,0.3520515236663162,0.0,0.0,0.0,0.012956910131039657,0.005857810346024361,0.012956910131039672,0.016470881654032953,0.0026798047644149606,0.016515798240157333,0.19909925070396575,0.15302784012569107,5.969861687532546e-20,0.2984551698944035,0.212121520507093,0.060897848133239285,916.6454557879227,0.00860360230106012,0.006682201353205878,0.001921400947854241,13.756827149408974,1252.6473274117477,9.335252557615982,12.667368438153838,11.69441643771624,76.86007837027134,12.099232727014169,71.07316002672822,10.509810829730721,6.820720762584346,66.83268630712233,87.78125755464096,68.86581252607346,68.86581252607346,68.86581252607354,68.86581252607354,8.552793977841992,0.7766748298422057,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.25,0.212121520507171,0.018814720477062636,0.5267654842547669,0.17471396058893532,0.3520515236658317,0.0,0.0,0.0,0.012956910131036245,0.005857810346026403,0.01295691013103626,0.016470881654028692,0.0026798047644156268,0.016515798240154353,0.1990992507039802,0.15302784012570092,5.465816194760664e-20,0.29845516989440907,0.212121520507171,0.060897848133181824,916.6454557931453,0.00860360230106013,0.00668220135320646,0.0019214009478536686,13.756827149412764,1252.6473274120929,9.335252557615908,12.667368438153458,11.694416437716313,76.8600783702707,12.099232727014188,71.07316002675304,10.509810829729776,6.820720762590042,66.8326863070558,87.78125755463155,68.86581252606037,68.86581252606037,68.86581252606045,68.86581252606045,8.552793977841992,0.7766748298422724,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-23.0,0.21212152050724906,0.018814720477061262,0.5267654842545662,0.17471396058921915,0.35205152366534714,0.0,0.0,0.0,0.012956910131032834,0.005857810346028444,0.01295691013103285,0.016470881654024428,0.002679804764416294,0.016515798240151366,0.19909925070399462,0.1530278401257108,4.9617707019887713e-20,0.2984551698944148,0.21212152050724906,0.06089784813312436,916.6454557983678,0.008603602301060139,0.006682201353207042,0.0019214009478530961,13.756827149416553,1252.6473274124378,9.335252557615835,12.667368438153076,11.694416437716386,76.8600783702701,12.099232727014208,71.07316002677783,10.509810829728833,6.82072076259574,66.83268630698926,87.78125755462207,68.86581252604726,68.86581252604726,68.86581252604735,68.86581252604735,8.552793977841993,0.7766748298423393,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.75,0.21212152050732708,0.018814720477059895,0.5267654842543658,0.17471396058950298,0.3520515236648627,0.0,0.0,0.0,0.01295691013102942,0.005857810346030486,0.012956910131029436,0.01647088165402017,0.0026798047644169586,0.016515798240148385,0.199099250704009,0.15302784012572068,4.457725209216879e-20,0.29845516989442034,0.21212152050732708,0.060897848133066895,916.6454558035903,0.00860360230106015,0.006682201353207625,0.0019214009478525232,13.75682714942034,1252.6473274127827,9.335252557615762,12.667368438152696,11.694416437716459,76.8600783702695,12.099232727014225,71.07316002680265,10.50981082972789,6.820720762601438,66.83268630692272,87.78125755461261,68.86581252603412,68.86581252603412,68.8658125260342,68.8658125260342,8.552793977841995,0.7766748298424061,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.5,0.21212152050740513,0.018814720477058525,0.5267654842541649,0.1747139605897868,0.3520515236643782,0.0,0.0,0.0,0.012956910131026005,0.005857810346032529,0.01295691013102602,0.01647088165401591,0.002679804764417625,0.016515798240145402,0.19909925070402346,0.15302784012573056,3.9536797164449854e-20,0.298455169894426,0.21212152050740513,0.06089784813300943,916.6454558088128,0.008603602301060158,0.006682201353208207,0.0019214009478519508,13.75682714942413,1252.6473274131276,9.33525255761569,12.667368438152316,11.69441643771653,76.8600783702689,12.099232727014245,71.07316002682745,10.509810829726947,6.820720762607135,66.83268630685623,87.78125755460314,68.86581252602099,68.86581252602099,68.86581252602107,68.86581252602107,8.552793977841995,0.7766748298424729,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.25,0.21212152050748315,0.018814720477057154,0.5267654842539639,0.17471396059007066,0.35205152366389375,0.0,0.0,0.0,0.012956910131022592,0.0058578103460345705,0.012956910131022608,0.016470881654011654,0.0026798047644182904,0.01651579824014242,0.199099250704038,0.15302784012574042,3.449634223673089e-20,0.29845516989443155,0.21212152050748315,0.06089784813295197,916.6454558140354,0.008603602301060167,0.006682201353208789,0.0019214009478513779,13.756827149427915,1252.6473274134723,9.335252557615616,12.667368438151934,11.694416437716605,76.86007837026823,12.099232727014263,71.07316002685226,10.509810829726003,6.820720762612832,66.83268630678978,87.7812575545937,68.86581252600786,68.86581252600786,68.86581252600794,68.86581252600794,8.552793977841997,0.7766748298425399,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-22.0,0.2121215205075612,0.018814720477055784,0.5267654842537635,0.17471396059035452,0.35205152366340925,0.0,0.0,0.0,0.012956910131019178,0.005857810346036612,0.012956910131019194,0.016470881654007393,0.002679804764418956,0.016515798240139438,0.19909925070405238,0.1530278401257503,2.945588730901197e-20,0.2984551698944372,0.2121215205075612,0.060897848132894505,916.6454558192579,0.008603602301060175,0.00668220135320937,0.0019214009478508054,13.756827149431706,1252.6473274138175,9.335252557615544,12.667368438151554,11.694416437716676,76.86007837026764,12.099232727014282,71.07316002687708,10.509810829725058,6.82072076261853,66.83268630672322,87.78125755458424,68.86581252599474,68.86581252599474,68.86581252599483,68.86581252599483,8.552793977841997,0.7766748298426066,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
-21.75,0.21212152050763922,0.018814720477054417,0.5267654842535626,0.17471396059063835,0.35205152366292475,0.0,0.0,0.0,0.012956910131015766,0.005857810346038654,0.012956910131015782,0.016470881654003133,0.0026798047644196214,0.016515798240136458,0.19909925070406678,0.15302784012576015,2.4415432381293134e-20,0.2984551698944428,0.21212152050763922,0.060897848132837044,916.6454558244805,0.008603602301060186,0.006682201353209952,0.001921400947850233,13.756827149435491,1252.6473274141622,9.33525255761547,12.667368438151172,11.694416437716749,76.86007837026703,12.0992327270143,71.07316002690187,10.509810829724115,6.820720762624227,66.83268630665673,87.78125755457476,68.86581252598161,68.86581252598161,68.86581252598168,68.86581252598168,8.552793977841999,0.7766748298426733,NRAS_Q61,13,Vemurafenib,Cobimetinib,0,0.5,24,24
